dataset,experiment,engine,params,seconds,result_rows,rows_per_sec
tdrive,write,tsfile,,3.057295,16284242,5326355
tdrive,write_prepare,tsfile,,0.319823,16284242,50916409
tdrive,write_sink,tsfile,,1.486669,16284242,10953509
tdrive,write_boundary,tsfile,,0.000000,16284242,0
tdrive,write_flush,tsfile,,0.947048,16284242,17194744
tdrive,write,parquet,,2.157336,16284242,7548310
tdrive,write_prepare,parquet,,0.463372,16284242,35142893
tdrive,write_sink,parquet,,1.645490,16284242,9896289
tdrive,space_bytes,tsfile,,0.000000,192360781,0
tdrive,space_bytes,parquet,,0.000000,154647464,0
tdrive,full_scan,tsfile,,3.896123,16284242,4179601
tdrive,full_scan,parquet,,0.262262,16284242,62091592
tdrive,tag_filter,tsfile,taxi_1,0.003880,564,145345
tdrive,tag_filter,parquet,taxi_1,0.016581,564,34014
tdrive,time_filter,tsfile,10%,2.953186,1826917,618625
tdrive,time_filter,parquet,10%,0.277152,1826895,6591671
tdrive,time_filter,tsfile,50%,3.098983,8930249,2881671
tdrive,time_filter,parquet,50%,0.284504,8930203,31388622
tdrive,time_filter,tsfile,100%,3.174520,16284242,5129671
tdrive,time_filter,parquet,100%,0.273512,16284242,59537577
tdrive,tag_time_filter,tsfile,taxi_1+10%,0.003905,50,12803
tdrive,tag_time_filter,parquet,taxi_1+10%,0.016248,50,3077
tdrive,tag_time_filter,tsfile,taxi_1+50%,0.004452,280,62892
tdrive,tag_time_filter,parquet,taxi_1+50%,0.015925,280,17582
tdrive,tag_time_filter,tsfile,taxi_1+100%,0.003954,564,142644
tdrive,tag_time_filter,parquet,taxi_1+100%,0.017281,564,32636
