iter_num,memory_usage(kb)
0,71952
1,72064
2,72752
3,74832
4,76944
5,76944
6,77520
7,77936
8,77936
9,78928
10,79328
11,79328
12,79392
13,80016
14,80016
15,80048
16,80512
17,80512
18,80528
19,80864
20,80864
21,80864
22,81200
23,81200
24,81296
25,81648
26,81648
27,81648
28,82064
29,82064
30,82080
31,84160
32,84160
33,84240
34,84240
35,84240
36,84320
37,84368
38,84368
39,84464
40,84880
41,84880
42,84992
43,85232
44,85232
45,85264
46,85616
47,85632
48,85632
49,85968
50,85968
51,85968
52,86320
53,86320
54,86320
55,86320
56,86320
57,86320
58,86688
59,86688
60,86688
61,93200
62,93200
63,93280
64,93664
65,93664
66,93664
67,94032
68,94032
69,94032
70,94384
71,94384
72,94384
73,94384
74,94384
75,94416
76,94416
77,94416
78,94416
79,94416
80,94416
81,94416
82,94416
83,94416
84,94416
85,94416
86,94416
87,94448
88,94448
89,94448
90,94464
91,97072
92,97072
93,97136
94,97136
95,97136
96,97136
97,97136
98,97136
99,97136
100,97136
101,97136
102,97136
103,97136
104,97136
105,97136
106,97136
107,97136
108,97168
109,97472
110,97472
111,97472
112,97472
113,97472
114,97472
115,98288
116,98288
117,98368
118,97920
119,97920
120,96720
121,97984
122,97984
123,88496
124,88016
125,88016
126,78208
127,77568
128,77568
129,77664
130,77936
131,77936
132,77936
133,77968
134,77968
135,77968
136,78016
137,78016
138,78016
139,78272
140,78272
141,78352
142,78672
143,78672
144,78704
145,79072
146,79072
147,79104
148,79440
149,79440
150,79472
151,81904
152,81904
153,81968
154,81968
155,81968
156,81968
157,82016
158,82016
159,82048
160,82048
161,82048
162,82128
163,82288
164,82288
165,82288
166,82352
167,82352
168,82368
169,82720
170,82720
171,82720
172,83088
173,83088
174,83088
175,83456
176,83456
177,83456
178,83456
179,83456
180,83456
181,85632
182,85632
183,85664
184,86032
185,86032
186,86032
187,86384
188,86384
189,86400
190,86784
191,86784
192,86784
193,86784
194,86784
195,86800
196,87136
197,87136
198,87184
199,87184
200,87184
201,87184
202,87184
203,87184
204,87216
205,87952
206,87952
207,87984
208,88336
209,88336
210,88336
211,91200
212,91200
213,91232
214,91232
215,91232
216,91248
217,91248
218,91248
219,91248
220,91584
221,91584
222,91616
223,91936
224,91936
225,91936
226,92288
227,92288
228,92288
229,92288
230,92288
231,92288
232,92288
233,92288
234,92288
235,92288
236,92288
237,92288
238,92288
239,92288
240,92288
241,93792
242,93792
243,93824
244,94160
245,94160
246,94160
247,94528
248,94528
249,94544
250,94896
251,94896
252,94896
253,95264
254,95264
255,95280
256,95632
257,95632
258,95648
259,96000
260,96000
261,96000
262,96352
263,96352
264,96352
265,96352
266,96352
267,96384
268,96752
269,96752
270,96752
271,97616
272,97616
273,97648
274,97648
275,97648
276,97680
277,98016
278,98016
279,98176
280,98560
281,98560
282,98560
283,98560
284,98560
285,98576
286,98576
287,98576
288,98576
289,98576
290,98576
291,98576
292,98576
293,98576
294,98576
295,98880
296,98880
297,98880
298,99296
299,99296
300,99296
301,101440
302,101440
303,101472
304,101840
305,101840
306,101840
307,102192
308,102192
309,102224
310,102592
311,102592
312,102592
313,102944
314,102944
315,102944
316,103312
317,103312
318,103312
